IoU,Dice,Sensitivity,Specificity,Precision,Accuracy
0.7858423,0.8800803,0.82444185,0.9965895,0.94377184,0.9854126
0.84141695,0.9138799,0.9531086,0.98002213,0.8777527,0.97650146
0.96871454,0.9841087,0.9813614,0.99702007,0.9868714,0.9941101
0.91523874,0.9557438,0.92453265,0.9992811,0.9891358,0.994339
0.6104027,0.75807464,0.6356515,0.992137,0.9389022,0.9351959
0.84025806,0.9131959,0.9109603,0.9765218,0.91544247,0.96221924
0.9396783,0.96890116,0.94786656,0.999015,0.9908905,0.9938202
0.50189525,0.6683492,0.50310737,0.9978249,0.9952226,0.7633972
0.77119565,0.8708193,0.9838225,0.9805094,0.7811009,0.98072815
0.6303959,0.77330405,0.9861792,0.94607157,0.6360149,0.9495697
0.77176774,0.8711839,0.77542466,0.9957407,0.99392635,0.891449
0.23807561,0.38458976,0.35636845,0.89597905,0.4176653,0.8025665
0.6441882,0.78359425,0.99585885,0.9494515,0.6459185,0.9533844
0.8643941,0.92726547,0.9453061,0.9944391,0.9099005,0.99168396
0.0,0.0,0.0,0.97648245,0.0,0.9598541
0.7487664,0.8563367,0.78255266,0.99025995,0.94548285,0.9533844
0.8675567,0.92908204,0.8806485,0.991249,0.9831531,0.9506531
0.24015793,0.3873022,0.24087124,0.99894553,0.98781943,0.8003235
0.7475915,0.8555678,0.8299179,0.96873224,0.8828538,0.93803406
0.93531895,0.9665786,0.9970023,0.9916834,0.9379567,0.99227905
0.9136976,0.95490277,0.9529792,0.9826234,0.95683414,0.9740906
0.47655818,0.6454987,0.74067724,0.97954214,0.57199603,0.9710388
0.40243366,0.57390755,0.40422964,0.9972703,0.9890802,0.77220154
0.6567549,0.7928208,0.99236184,0.94203097,0.66009164,0.9471588
0.4150787,0.586651,0.9823529,0.9330623,0.418197,0.93536377
0.49030718,0.6579948,0.83612907,0.681492,0.54243165,0.729599
0.82574534,0.904557,0.9724792,0.9877856,0.8455033,0.98680115
